NCT,target,response,efficacy,Authors,Year,PMID
NCT02362594,PD-1,RFS,Positive,Eggermont AMM et al,2020,32946353
NCT00636168,CTLA-4,PFS,effective,Eggermont AMM et al,2016,27717298
NCT00636168,CTLA-4,PFS,effective,Eggermont AMM et al,2015,25840693
NCT00636168,CTLA-4,PFS,PFS and OS were improved with Ipilimumab,Eggermont AMM et al,2016,27717298
NCT00636168,CTLA-4,PFS,PFS and OS were improved with Ipilimumab,Eggermont AMM et al,2015,25840693
NCT01903993,PD-L1,OS,"Treatment showed effectiveness based on PFS, ORR, and DOR.",Fehrenbacher L et al,2016,26970723
NCT01903993,PD-L1,OS,"Treatment showed effectiveness based on PFS, ORR, and DOR.",Mazieres J et al,2020,33166718
NCT01903993,PD-L1,OS,Treatment showed effect on Overall Survival. Further details needed from the study to assess precise degree of efficacy.,Fehrenbacher L et al,2016,26970723
NCT01903993,PD-L1,OS,Treatment showed effect on Overall Survival. Further details needed from the study to assess precise degree of efficacy.,Mazieres J et al,2020,33166718
NCT02008227,PD-L1,OS,"Treatment showed improvements in OS, PFS, ORR, and DoR.",Rittmeyer A et al,2017,27979383
NCT02008227,PD-L1,OS,"Treatment showed improvements in OS, PFS, ORR, and DoR.",Fehrenbacher L et al,2018,29777823
NCT02008227,PD-L1,OS,"Treatment showed improvements in OS, PFS, ORR, and DoR.",Mazieres J et al,2020,33166718
NCT02008227,PD-L1,OS,"Treatment demonstrated efficacy with improved OS, PFS, ORR, and DoR.",Rittmeyer A et al,2017,27979383
NCT02008227,PD-L1,OS,"Treatment demonstrated efficacy with improved OS, PFS, ORR, and DoR.",Fehrenbacher L et al,2018,29777823
NCT02008227,PD-L1,OS,"Treatment demonstrated efficacy with improved OS, PFS, ORR, and DoR.",Mazieres J et al,2020,33166718
NCT02008227,PD-L1,OS,"Treatment showed a positive impact on the primary endpoint (OS), suggesting it worked well.",Rittmeyer A et al,2017,27979383
NCT02008227,PD-L1,OS,"Treatment showed a positive impact on the primary endpoint (OS), suggesting it worked well.",Fehrenbacher L et al,2018,29777823
NCT02008227,PD-L1,OS,"Treatment showed a positive impact on the primary endpoint (OS), suggesting it worked well.",Mazieres J et al,2020,33166718
NCT02811861,"PD-1, VEGF","PFS, ORR",effective,Motzer R et al,2021,33616314
NCT03215706,PD-1,ORR,"Treatment showed improvements in OS, PFS, and ORR",Paz-Ares L et al,2021,33476593
NCT02481830,PD-1,ORR,"Treatment showed some efficacy based on Overall Survival (OS), Progression-Free Survival (PFS), Objective Response Rate (ORR), and Duration of Response (DoR).",Spigel DR et al,2021,33539946
NCT03141177,PD-1,PFS,"Likely beneficial based on PFS, OS, and ORR",Choueiri TK et al,2021,33657295
NCT02538666,PD-1/CTLA-4,OS,effective,Owonikoko TK et al,2021,33683919
NCT02538666,PD-1/CTLA-4,OS,effective,Owonikoko TK et al,2021,33683919
NCT02538666,PD-1/CTLA-4,OS,"PFS, OS",Owonikoko TK et al,2021,33683919
NCT02538666,PD-1/CTLA-4,OS,"PFS, OS",Owonikoko TK et al,2021,33683919
NCT02538666,PD-1,OS; PFS,effective,Owonikoko TK et al,2021,33683919
NCT02538666,PD-1,OS; PFS,effective,Owonikoko TK et al,2021,33683919
NCT02538666,PD-1,OS; PFS,"PFS, OS",Owonikoko TK et al,2021,33683919
NCT02538666,PD-1,OS; PFS,"PFS, OS",Owonikoko TK et al,2021,33683919
NCT02299999,PD-L1,PFS,"PFS, OS",Bachelot T et al,2021,33462450
NCT02684292,PD-1,PFS+OS,effective,Kuruvilla J et al,2021,33721562
NCT02450331,PD-L1,DFS,The treatment's effect on DFS and OS is evaluated,Bellmunt J et al,2021,33721560
NCT02555657,PD-1,ORR,positive,Winer PE et al,2021,33676601
NCT03088540,PD-1,OS+PFS,"Treatment shows efficacy based on overall survival, progression-free survival, and objective response rate.",Sezer A et al,2021,33581821
NCT02852083,PD-1,PFS,effective,Heudobler D et al,2021,33796020
NCT02952586,PD-L1,PFS,"Treatment showed positive trends in PFS and OS, suggesting potential efficacy. ORR, DoR, and path CR provide additional evidence of treatment activity.",Lee NY et al,2021,33794205
NCT02743494,PD-1,DFS,Treatment demonstrated improved survival outcomes.,Kelly RJ,2021,33789008
NCT02999087,EGFR inhibitor,PFS,PFS,Tao Y et al.,2021,33125944
